il,yil,gosterge_kodu,gosterge,deger
Edirne,2019,yatak_1000,Bin kişiye düşen hastane yatağı,4.68
Elazığ,2019,yatak_1000,Bin kişiye düşen hastane yatağı,5.06
Erzincan,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.3
Erzurum,2019,yatak_1000,Bin kişiye düşen hastane yatağı,4.75
Eskişehir,2019,yatak_1000,Bin kişiye düşen hastane yatağı,3.95
Gaziantep,2019,yatak_1000,Bin kişiye düşen hastane yatağı,3.03
Giresun,2019,yatak_1000,Bin kişiye düşen hastane yatağı,3.51
Gümüşhane,2019,yatak_1000,Bin kişiye düşen hastane yatağı,1.99
Hakkari,2019,yatak_1000,Bin kişiye düşen hastane yatağı,1.46
Hatay,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.58
Isparta,2019,yatak_1000,Bin kişiye düşen hastane yatağı,4.54
Iğdır,2019,yatak_1000,Bin kişiye düşen hastane yatağı,1.57
Kahramanmaraş,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.55
Karabük,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.78
Karaman,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.36
Kars,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.6
Kastamonu,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.87
Kayseri,2019,yatak_1000,Bin kişiye düşen hastane yatağı,3.25
Kilis,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.25
Kocaeli,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.33
Konya,2019,yatak_1000,Bin kişiye düşen hastane yatağı,3.4
Kütahya,2019,yatak_1000,Bin kişiye düşen hastane yatağı,3.26
Kırklareli,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.52
Kırıkkale,2019,yatak_1000,Bin kişiye düşen hastane yatağı,4.43
Kırşehir,2019,yatak_1000,Bin kişiye düşen hastane yatağı,1.94
Malatya,2019,yatak_1000,Bin kişiye düşen hastane yatağı,3.69
Manisa,2019,yatak_1000,Bin kişiye düşen hastane yatağı,3.28
Mardin,2019,yatak_1000,Bin kişiye düşen hastane yatağı,1.72
Mersin,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.59
Muğla,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.1
Muş,2019,yatak_1000,Bin kişiye düşen hastane yatağı,1.88
Nevşehir,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.3
Niğde,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.45
Ordu,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.96
Osmaniye,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.4
